entity_id,domain,friendly_name,state,device_class,unit_of_measurement
sensor.diegos_ipad_sim_1,sensor,Diego’s iPad  SIM 1,unavailable,,
sensor.diegos_ipad_geocoded_location,sensor,Diego’s iPad  Geocoded Location,unavailable,,
sensor.diegos_ipad_battery_level,sensor,Diego’s iPad  Battery Level,unavailable,battery,%
sensor.diegos_ipad_storage,sensor,Diego’s iPad  Storage,unavailable,,
binary_sensor.diegos_ipad_focus,binary_sensor,Diego’s iPad  Focus,unavailable,,
sensor.diegos_ipad_ssid,sensor,Diego’s iPad  SSID,unavailable,,
sensor.diegos_ipad_bssid,sensor,Diego’s iPad  BSSID,unavailable,,
sensor.diegos_ipad_last_update_trigger,sensor,Diego’s iPad  Last Update Trigger,unavailable,,
sensor.diegos_ipad_location_permission,sensor,Diego’s iPad  Location permission,unavailable,,
sensor.diegos_ipad_app_version,sensor,Diego’s iPad  App Version,unavailable,,
sensor.diegos_ipad_audio_output,sensor,Diego’s iPad  Audio Output,unavailable,,
person.mqtt,person,mqtt,unavailable,,
device_tracker.dads_iphone,device_tracker,Dads iPhone,unavailable,,
sensor.dads_iphone_floors_ascended,sensor,Dads iPhone Floors Ascended,unavailable,,
sensor.dads_iphone_activity,sensor,Dads iPhone Activity,unavailable,,
sensor.dads_iphone_distance,sensor,Dads iPhone Distance,unavailable,,
sensor.dads_iphone_floors_descended,sensor,Dads iPhone Floors Descended,unavailable,,
sensor.dads_iphone_battery_level,sensor,Dads iPhone Battery Level,unavailable,battery,%
sensor.dads_iphone_battery_state,sensor,Dads iPhone Battery State,unavailable,,
sensor.dads_iphone_connection_type,sensor,Dads iPhone Connection Type,unavailable,,
sensor.dads_iphone_steps,sensor,Dads iPhone Steps,unavailable,,
sensor.dads_iphone_storage,sensor,Dads iPhone Storage,unavailable,,
sensor.dads_iphone_ssid,sensor,Dads iPhone SSID,unavailable,,
sensor.dads_iphone_bssid,sensor,Dads iPhone BSSID,unavailable,,
sensor.dads_iphone_average_active_pace,sensor,Dads iPhone Average Active Pace,unavailable,,
sensor.dads_iphone_sim_1,sensor,Dads iPhone SIM 1,unavailable,,
sensor.dads_iphone_sim_2,sensor,Dads iPhone SIM 2,unavailable,,
binary_sensor.dads_iphone_focus,binary_sensor,Dads iPhone Focus,unavailable,,
sensor.dads_iphone_geocoded_location,sensor,Dads iPhone Geocoded Location,unavailable,,
sensor.dads_iphone_last_update_trigger,sensor,Dads iPhone Last Update Trigger,unavailable,,
sensor.dads_iphone_app_version,sensor,Dads iPhone App Version,unavailable,,
sensor.dads_iphone_audio_output,sensor,Dads iPhone Audio Output,unavailable,,
sensor.dads_iphone_location_permission,sensor,Dads iPhone Location permission,unavailable,,
media_player.basement_tv,media_player,,unavailable,,
binary_sensor.zigbee2mqtt_bridge_connection_state,binary_sensor,Zigbee2MQTT Bridge Connection state,on,connectivity,
