entity_id,domain,friendly_name,state,area_id,area_name,device_id,device_name,attr_key,attr_value
automation.huskers_postgame_event,automation,Huskers: Postgame Event,unavailable,,,,,friendly_name,Huskers: Postgame Event
automation.huskers_postgame_event,automation,Huskers: Postgame Event,unavailable,,,,,id,huskers_postgame_event
automation.huskers_postgame_event,automation,Huskers: Postgame Event,unavailable,,,,,restored,True
automation.huskers_postgame_event,automation,Huskers: Postgame Event,unavailable,,,,,supported_features,0
automation.huskers_postgame_monthly_led_effect_20m,automation,Huskers: Postgame LED Effect Restore,unavailable,,,,,friendly_name,Huskers: Postgame LED Effect Restore
automation.huskers_postgame_monthly_led_effect_20m,automation,Huskers: Postgame LED Effect Restore,unavailable,,,,,id,huskers_postgame_monthly_effect_after_20m
automation.huskers_postgame_monthly_led_effect_20m,automation,Huskers: Postgame LED Effect Restore,unavailable,,,,,restored,True
automation.huskers_postgame_monthly_led_effect_20m,automation,Huskers: Postgame LED Effect Restore,unavailable,,,,,supported_features,0
automation.huskers_pregame_atmosphere_30_min_before,automation,Huskers: Pregame Atmosphere (30 min before),unavailable,,,,,friendly_name,Huskers: Pregame Atmosphere (30 min before)
automation.huskers_pregame_atmosphere_30_min_before,automation,Huskers: Pregame Atmosphere (30 min before),unavailable,,,,,id,huskers_pregame_atmosphere_30min
automation.huskers_pregame_atmosphere_30_min_before,automation,Huskers: Pregame Atmosphere (30 min before),unavailable,,,,,restored,True
automation.huskers_pregame_atmosphere_30_min_before,automation,Huskers: Pregame Atmosphere (30 min before),unavailable,,,,,supported_features,0
automation.huskers_pregame_event,automation,Huskers: Pregame Event,unavailable,,,,,friendly_name,Huskers: Pregame Event
automation.huskers_pregame_event,automation,Huskers: Pregame Event,unavailable,,,,,id,huskers_pregame_event
automation.huskers_pregame_event,automation,Huskers: Pregame Event,unavailable,,,,,restored,True
automation.huskers_pregame_event,automation,Huskers: Pregame Event,unavailable,,,,,supported_features,0
automation.huskers_pregame_hype_10_min_before,automation,Huskers: Pregame Hype (10 min before),unavailable,,,,,friendly_name,Huskers: Pregame Hype (10 min before)
automation.huskers_pregame_hype_10_min_before,automation,Huskers: Pregame Hype (10 min before),unavailable,,,,,id,huskers_pregame_hype_10min
automation.huskers_pregame_hype_10_min_before,automation,Huskers: Pregame Hype (10 min before),unavailable,,,,,restored,True
automation.huskers_pregame_hype_10_min_before,automation,Huskers: Pregame Hype (10 min before),unavailable,,,,,supported_features,0
automation.huskers_pregame_showtime_t_20_minutes,automation,Huskers: Pregame Showtime (T-20 Minutes),on,,,,,current,0
automation.huskers_pregame_showtime_t_20_minutes,automation,Huskers: Pregame Showtime (T-20 Minutes),on,,,,,friendly_name,Huskers: Pregame Showtime (T-20 Minutes)
automation.huskers_pregame_showtime_t_20_minutes,automation,Huskers: Pregame Showtime (T-20 Minutes),on,,,,,id,huskers_showtime_at_t_20
automation.huskers_pregame_showtime_t_20_minutes,automation,Huskers: Pregame Showtime (T-20 Minutes),on,,,,,last_triggered,
automation.huskers_pregame_showtime_t_20_minutes,automation,Huskers: Pregame Showtime (T-20 Minutes),on,,,,,mode,single
automation.huskers_pregame_t_20,automation,Huskers – Pregame (T-20),unavailable,,,,,friendly_name,Huskers – Pregame (T-20)
automation.huskers_pregame_t_20,automation,Huskers – Pregame (T-20),unavailable,,,,,id,huskers_pregame_20min
automation.huskers_pregame_t_20,automation,Huskers – Pregame (T-20),unavailable,,,,,restored,True
automation.huskers_pregame_t_20,automation,Huskers – Pregame (T-20),unavailable,,,,,supported_features,0
automation.huskers_pregame_theater_alternating,automation,Huskers: Pregame Theater Alternating,unavailable,,,,,friendly_name,Huskers: Pregame Theater Alternating
automation.huskers_pregame_theater_alternating,automation,Huskers: Pregame Theater Alternating,unavailable,,,,,id,huskers_pregame_theater_alternating
automation.huskers_pregame_theater_alternating,automation,Huskers: Pregame Theater Alternating,unavailable,,,,,restored,True
automation.huskers_pregame_theater_alternating,automation,Huskers: Pregame Theater Alternating,unavailable,,,,,supported_features,0
automation.huskers_pregame_window_t_20_t0,automation,Huskers: Pregame Window (T-20 → T0),unavailable,,,,,friendly_name,Huskers: Pregame Window (T-20 → T0)
automation.huskers_pregame_window_t_20_t0,automation,Huskers: Pregame Window (T-20 → T0),unavailable,,,,,id,huskers_pregame_window
automation.huskers_pregame_window_t_20_t0,automation,Huskers: Pregame Window (T-20 → T0),unavailable,,,,,restored,True
automation.huskers_pregame_window_t_20_t0,automation,Huskers: Pregame Window (T-20 → T0),unavailable,,,,,supported_features,0
automation.huskers_ranking_improvement_celebration,automation,Huskers: Ranking Improvement Celebration,unavailable,,,,,friendly_name,Huskers: Ranking Improvement Celebration
automation.huskers_ranking_improvement_celebration,automation,Huskers: Ranking Improvement Celebration,unavailable,,,,,id,huskers_ranking_improvement
automation.huskers_ranking_improvement_celebration,automation,Huskers: Ranking Improvement Celebration,unavailable,,,,,restored,True
automation.huskers_ranking_improvement_celebration,automation,Huskers: Ranking Improvement Celebration,unavailable,,,,,supported_features,0
automation.huskers_react_to_test_score,automation,Huskers – React to Test Score (logbook),unavailable,,,,,friendly_name,Huskers – React to Test Score (logbook)
automation.huskers_react_to_test_score,automation,Huskers – React to Test Score (logbook),unavailable,,,,,id,huskers_on_test_score
automation.huskers_react_to_test_score,automation,Huskers – React to Test Score (logbook),unavailable,,,,,restored,True
automation.huskers_react_to_test_score,automation,Huskers – React to Test Score (logbook),unavailable,,,,,supported_features,0
automation.huskers_react_to_test_score_2,automation,Huskers: React to Test Score,unavailable,,,,,friendly_name,Huskers: React to Test Score
automation.huskers_react_to_test_score_2,automation,Huskers: React to Test Score,unavailable,,,,,id,huskers_react_to_test_score
automation.huskers_react_to_test_score_2,automation,Huskers: React to Test Score,unavailable,,,,,restored,True
automation.huskers_react_to_test_score_2,automation,Huskers: React to Test Score,unavailable,,,,,supported_features,0
automation.huskers_season_milestone_tracker,automation,Huskers: Season Milestone Tracker,unavailable,,,,,friendly_name,Huskers: Season Milestone Tracker
automation.huskers_season_milestone_tracker,automation,Huskers: Season Milestone Tracker,unavailable,,,,,id,huskers_season_milestone_tracker
automation.huskers_season_milestone_tracker,automation,Huskers: Season Milestone Tracker,unavailable,,,,,restored,True
automation.huskers_season_milestone_tracker,automation,Huskers: Season Milestone Tracker,unavailable,,,,,supported_features,0
automation.huskers_set_led_gametime_on_kickoff,automation,Huskers: LED Gametime Mode at Kickoff,unavailable,,,,,friendly_name,Huskers: LED Gametime Mode at Kickoff
automation.huskers_set_led_gametime_on_kickoff,automation,Huskers: LED Gametime Mode at Kickoff,unavailable,,,,,id,huskers_set_led_gametime_on_kickoff
automation.huskers_set_led_gametime_on_kickoff,automation,Huskers: LED Gametime Mode at Kickoff,unavailable,,,,,restored,True
automation.huskers_set_led_gametime_on_kickoff,automation,Huskers: LED Gametime Mode at Kickoff,unavailable,,,,,supported_features,0
automation.huskers_showtime_at_t_20,automation,Huskers: Pregame Showtime (T-20 Minutes),unavailable,,,,,friendly_name,Huskers: Pregame Showtime (T-20 Minutes)
automation.huskers_showtime_at_t_20,automation,Huskers: Pregame Showtime (T-20 Minutes),unavailable,,,,,id,huskers_pregame_tminus20_showtime
automation.huskers_showtime_at_t_20,automation,Huskers: Pregame Showtime (T-20 Minutes),unavailable,,,,,restored,True
automation.huskers_showtime_at_t_20,automation,Huskers: Pregame Showtime (T-20 Minutes),unavailable,,,,,supported_features,0
automation.huskers_stop_shows_20m_after_final,automation,Huskers: Stop Shows 20m After Final,unavailable,,,,,friendly_name,Huskers: Stop Shows 20m After Final
automation.huskers_stop_shows_20m_after_final,automation,Huskers: Stop Shows 20m After Final,unavailable,,,,,id,huskers_stop_shows_20m_after_final
automation.huskers_stop_shows_20m_after_final,automation,Huskers: Stop Shows 20m After Final,unavailable,,,,,restored,True
automation.huskers_stop_shows_20m_after_final,automation,Huskers: Stop Shows 20m After Final,unavailable,,,,,supported_features,0
automation.huskers_system_health_check,automation,Huskers: System Health Check,unavailable,,,,,friendly_name,Huskers: System Health Check
automation.huskers_system_health_check,automation,Huskers: System Health Check,unavailable,,,,,id,huskers_system_health_check
automation.huskers_system_health_check,automation,Huskers: System Health Check,unavailable,,,,,restored,True
automation.huskers_system_health_check,automation,Huskers: System Health Check,unavailable,,,,,supported_features,0
automation.huskers_td_burst_on_score,automation,Huskers: Touchdown Celebration,on,,,,,current,0
automation.huskers_td_burst_on_score,automation,Huskers: Touchdown Celebration,on,,,,,friendly_name,Huskers: Touchdown Celebration
automation.huskers_td_burst_on_score,automation,Huskers: Touchdown Celebration,on,,,,,id,huskers_td_burst_on_score
automation.huskers_td_burst_on_score,automation,Huskers: Touchdown Celebration,on,,,,,last_triggered,2025-08-28T20:51:00.351031+00:00
automation.huskers_td_burst_on_score,automation,Huskers: Touchdown Celebration,on,,,,,mode,single
automation.huskers_theater_show_auto_start,automation,Huskers: Theater Show Auto Start,unavailable,,,,,friendly_name,Huskers: Theater Show Auto Start
automation.huskers_theater_show_auto_start,automation,Huskers: Theater Show Auto Start,unavailable,,,,,id,huskers_theater_show_auto_start
automation.huskers_theater_show_auto_start,automation,Huskers: Theater Show Auto Start,unavailable,,,,,restored,True
automation.huskers_theater_show_auto_start,automation,Huskers: Theater Show Auto Start,unavailable,,,,,supported_features,0
automation.huskers_theater_show_auto_stop,automation,Huskers: Theater Show Auto Stop,unavailable,,,,,friendly_name,Huskers: Theater Show Auto Stop
automation.huskers_theater_show_auto_stop,automation,Huskers: Theater Show Auto Stop,unavailable,,,,,id,huskers_theater_show_auto_stop
automation.huskers_theater_show_auto_stop,automation,Huskers: Theater Show Auto Stop,unavailable,,,,,restored,True
automation.huskers_theater_show_auto_stop,automation,Huskers: Theater Show Auto Stop,unavailable,,,,,supported_features,0
automation.huskers_toggle_debug_logging,automation,Huskers: Toggle Debug Logging,unavailable,,,,,friendly_name,Huskers: Toggle Debug Logging
automation.huskers_toggle_debug_logging,automation,Huskers: Toggle Debug Logging,unavailable,,,,,id,huskers_toggle_debug_logging
automation.huskers_toggle_debug_logging,automation,Huskers: Toggle Debug Logging,unavailable,,,,,restored,True
automation.huskers_toggle_debug_logging,automation,Huskers: Toggle Debug Logging,unavailable,,,,,supported_features,0
automation.huskers_touchdown_boost,automation,Huskers: Touchdown Boost,unavailable,,,,,friendly_name,Huskers: Touchdown Boost
automation.huskers_touchdown_boost,automation,Huskers: Touchdown Boost,unavailable,,,,,id,huskers_touchdown_boost
automation.huskers_touchdown_boost,automation,Huskers: Touchdown Boost,unavailable,,,,,restored,True
automation.huskers_touchdown_boost,automation,Huskers: Touchdown Boost,unavailable,,,,,supported_features,0
automation.huskers_touchdown_burst,automation,Huskers: Touchdown Burst,unavailable,,,,,friendly_name,Huskers: Touchdown Burst
automation.huskers_touchdown_burst,automation,Huskers: Touchdown Burst,unavailable,,,,,id,huskers_td_burst
automation.huskers_touchdown_burst,automation,Huskers: Touchdown Burst,unavailable,,,,,restored,True
