entity_id,domain,friendly_name,state,device_class,unit_of_measurement
button.h705a_3d4b_request_platform_api_state,button,Permanent Outdoor Lights Request Platform API State,unknown,,
sensor.h6076_7b5f_status,sensor,Sunroom_Light Status,Available,,
button.h6076_7b5f_request_platform_api_state,button,Sunroom_Light Request Platform API State,unknown,,
device_tracker.iot_device,device_tracker,iot_device,unavailable,,
device_tracker.b_hyve_xr_70d150,device_tracker,B-hyve_XR_70D150,unavailable,,
device_tracker.home,device_tracker,Home,unavailable,,
device_tracker.private,device_tracker,Private,unavailable,,
device_tracker.android_a1bda00cf175a012,device_tracker,android-a1bda00cf175a012,unavailable,,
device_tracker.google,device_tracker,Google,unavailable,,
device_tracker.private_2,device_tracker,Private,unavailable,,
device_tracker.purifier_garage,device_tracker,purifier - garage,unavailable,,
device_tracker.office,device_tracker,Office,unavailable,,
device_tracker.garage_keypad,device_tracker,garage_keypad,unavailable,,
