entity_id,domain,friendly_name,state,area_id,area_name,device_id,device_name,attr_key,attr_value
automation.huskers_exterior_alternating_loop_start,automation,Huskers: Exterior Alternating Loop (Start),unavailable,,,,,restored,True
automation.huskers_exterior_alternating_loop_start,automation,Huskers: Exterior Alternating Loop (Start),unavailable,,,,,supported_features,0
automation.huskers_exterior_light_show_start,automation,Huskers Exterior Light Show - Start,unavailable,,,,,friendly_name,Huskers Exterior Light Show - Start
automation.huskers_exterior_light_show_start,automation,Huskers Exterior Light Show - Start,unavailable,,,,,id,huskers_exterior_show_activator
automation.huskers_exterior_light_show_start,automation,Huskers Exterior Light Show - Start,unavailable,,,,,restored,True
automation.huskers_exterior_light_show_start,automation,Huskers Exterior Light Show - Start,unavailable,,,,,supported_features,0
automation.huskers_exterior_show_auto_start,automation,Huskers: Exterior Show Auto Start,unavailable,,,,,friendly_name,Huskers: Exterior Show Auto Start
automation.huskers_exterior_show_auto_start,automation,Huskers: Exterior Show Auto Start,unavailable,,,,,id,huskers_exterior_show_auto_start
automation.huskers_exterior_show_auto_start,automation,Huskers: Exterior Show Auto Start,unavailable,,,,,restored,True
automation.huskers_exterior_show_auto_start,automation,Huskers: Exterior Show Auto Start,unavailable,,,,,supported_features,0
automation.huskers_exterior_show_auto_stop,automation,Huskers: Exterior Show Auto Stop,unavailable,,,,,friendly_name,Huskers: Exterior Show Auto Stop
automation.huskers_exterior_show_auto_stop,automation,Huskers: Exterior Show Auto Stop,unavailable,,,,,id,huskers_exterior_show_auto_stop
automation.huskers_exterior_show_auto_stop,automation,Huskers: Exterior Show Auto Stop,unavailable,,,,,restored,True
automation.huskers_exterior_show_auto_stop,automation,Huskers: Exterior Show Auto Stop,unavailable,,,,,supported_features,0
automation.huskers_first_time_ranked_celebration,automation,Huskers: First Time Ranked Celebration,unavailable,,,,,friendly_name,Huskers: First Time Ranked Celebration
automation.huskers_first_time_ranked_celebration,automation,Huskers: First Time Ranked Celebration,unavailable,,,,,id,huskers_first_ranking
automation.huskers_first_time_ranked_celebration,automation,Huskers: First Time Ranked Celebration,unavailable,,,,,restored,True
automation.huskers_first_time_ranked_celebration,automation,Huskers: First Time Ranked Celebration,unavailable,,,,,supported_features,0
automation.huskers_game_day_data_refresh,automation,Huskers: Game Day Data Refresh,unavailable,,,,,friendly_name,Huskers: Game Day Data Refresh
automation.huskers_game_day_data_refresh,automation,Huskers: Game Day Data Refresh,unavailable,,,,,id,huskers_gameday_data_refresh
automation.huskers_game_day_data_refresh,automation,Huskers: Game Day Data Refresh,unavailable,,,,,restored,True
automation.huskers_game_day_data_refresh,automation,Huskers: Game Day Data Refresh,unavailable,,,,,supported_features,0
automation.huskers_game_day_show_auto_start,automation,Huskers: Game Day Show Auto Start,unavailable,,,,,friendly_name,Huskers: Game Day Show Auto Start
automation.huskers_game_day_show_auto_start,automation,Huskers: Game Day Show Auto Start,unavailable,,,,,id,huskers_game_day_show_start
automation.huskers_game_day_show_auto_start,automation,Huskers: Game Day Show Auto Start,unavailable,,,,,restored,True
automation.huskers_game_day_show_auto_start,automation,Huskers: Game Day Show Auto Start,unavailable,,,,,supported_features,0
automation.huskers_game_day_show_auto_stop,automation,Huskers: Game Day Show Auto Stop,unavailable,,,,,friendly_name,Huskers: Game Day Show Auto Stop
automation.huskers_game_day_show_auto_stop,automation,Huskers: Game Day Show Auto Stop,unavailable,,,,,id,huskers_game_day_show_stop
automation.huskers_game_day_show_auto_stop,automation,Huskers: Game Day Show Auto Stop,unavailable,,,,,restored,True
automation.huskers_game_day_show_auto_stop,automation,Huskers: Game Day Show Auto Stop,unavailable,,,,,supported_features,0
automation.huskers_halftime,automation,Huskers: Halftime,unavailable,,,,,friendly_name,Huskers: Halftime
automation.huskers_halftime,automation,Huskers: Halftime,unavailable,,,,,id,huskers_halftime
automation.huskers_halftime,automation,Huskers: Halftime,unavailable,,,,,restored,True
automation.huskers_halftime,automation,Huskers: Halftime,unavailable,,,,,supported_features,0
automation.huskers_halftime_calm_theater,automation,Huskers: Halftime → Calm Theater,unavailable,,,,,friendly_name,Huskers: Halftime → Calm Theater
automation.huskers_halftime_calm_theater,automation,Huskers: Halftime → Calm Theater,unavailable,,,,,id,huskers_halftime_dim
automation.huskers_halftime_calm_theater,automation,Huskers: Halftime → Calm Theater,unavailable,,,,,restored,True
automation.huskers_halftime_calm_theater,automation,Huskers: Halftime → Calm Theater,unavailable,,,,,supported_features,0
automation.huskers_in_game,automation,Huskers: In-Game,unavailable,,,,,friendly_name,Huskers: In-Game
automation.huskers_in_game,automation,Huskers: In-Game,unavailable,,,,,id,huskers_in_game
automation.huskers_in_game,automation,Huskers: In-Game,unavailable,,,,,restored,True
automation.huskers_in_game,automation,Huskers: In-Game,unavailable,,,,,supported_features,0
automation.huskers_kickoff_showtime,automation,Huskers: Kickoff Showtime,unavailable,,,,,friendly_name,Huskers: Kickoff Showtime
automation.huskers_kickoff_showtime,automation,Huskers: Kickoff Showtime,unavailable,,,,,id,huskers_kickoff_showtime
automation.huskers_kickoff_showtime,automation,Huskers: Kickoff Showtime,unavailable,,,,,restored,True
automation.huskers_kickoff_showtime,automation,Huskers: Kickoff Showtime,unavailable,,,,,supported_features,0
automation.huskers_kickoff_start_game_loop,automation,Huskers – Kickoff (start game loop),unavailable,,,,,friendly_name,Huskers – Kickoff (start game loop)
automation.huskers_kickoff_start_game_loop,automation,Huskers – Kickoff (start game loop),unavailable,,,,,id,huskers_kickoff_start
automation.huskers_kickoff_start_game_loop,automation,Huskers – Kickoff (start game loop),unavailable,,,,,restored,True
automation.huskers_kickoff_start_game_loop,automation,Huskers – Kickoff (start game loop),unavailable,,,,,supported_features,0
automation.huskers_new_item_notifier,automation,Huskers – New item notifier,unavailable,,,,,friendly_name,Huskers – New item notifier
automation.huskers_new_item_notifier,automation,Huskers – New item notifier,unavailable,,,,,id,huskers_news_push
automation.huskers_new_item_notifier,automation,Huskers – New item notifier,unavailable,,,,,restored,True
